Runtime of 2 function:
My function 	 Numpy
6.14864373 	 0.00759864
7.39940572 	 0.01670980
5.98203325 	 0.02042508
5.87385654 	 0.01717186
6.16641784 	 0.02403784
5.92414856 	 0.01542044
6.24555349 	 0.01808763
4.89345241 	 0.01165867
4.23967028 	 0.01046729
4.27004337 	 0.02656555
5.02235341 	 0.02550459
4.98233771 	 0.01322079
4.46061659 	 0.00980258
4.28039694 	 0.01732659
4.92343593 	 0.01990223
4.54750967 	 0.01102877
4.57187510 	 0.00988603
4.71258402 	 0.01923013
5.23147511 	 0.02452230
6.69384575 	 0.02026200
